dport,sport,protocol,flags,time bw prev packet,spkts,dpkts,pkt_len,ttl,payload size,label
56704,22,6,PA,0.001196146011352539,73,0,41,64,224,ssh-bruteforce
56720,22,6,PA,0.0009336471557617188,556,0,524,64,224,ssh-bruteforce
56656,22,6,PA,0.00096893310546875,73,0,41,64,224,ssh-bruteforce
56706,22,6,A,0.0009438991546630859,32,0,0,64,224,ssh-bruteforce
56750,22,6,PA,0.0012543201446533203,73,0,41,64,224,ssh-bruteforce
56688,22,6,PA,0.0013527870178222656,73,0,41,64,224,ssh-bruteforce
56664,22,6,PA,0.001980304718017578,1144,0,1112,64,224,ssh-bruteforce
56644,22,6,PA,0.0020456314086914062,1144,0,1112,64,224,ssh-bruteforce
56680,22,6,A,0.0012094974517822266,32,0,0,64,224,ssh-bruteforce
56712,22,6,A,0.0011625289916992188,32,0,0,64,224,ssh-bruteforce
22,56656,6,A,0.0012128353118896484,0,32,0,64,224,ssh-bruteforce
56656,22,6,PA,0.0011184215545654297,1144,0,1112,64,224,ssh-bruteforce
22,56706,6,PA,0.0016338825225830078,0,80,48,64,224,ssh-bruteforce
56706,22,6,A,0.0010840892791748047,32,0,0,64,224,ssh-bruteforce
22,56704,6,A,0.0009870529174804688,0,32,0,64,224,ssh-bruteforce
56704,22,6,PA,0.0009312629699707031,1144,0,1112,64,224,ssh-bruteforce
22,56704,6,PA,0.00106048583984375,0,936,904,64,224,ssh-bruteforce
22,56750,6,PA,0.0010447502136230469,0,936,904,64,224,ssh-bruteforce
22,56680,6,A,0.0017192363739013672,0,32,0,64,224,ssh-bruteforce
22,56664,6,PA,0.0014452934265136719,0,80,48,64,224,ssh-bruteforce
22,56680,6,PA,0.0015404224395751953,0,80,48,64,224,ssh-bruteforce
22,56712,6,A,0.0013282299041748047,0,32,0,64,224,ssh-bruteforce
22,56712,6,PA,0.0011165142059326172,0,80,48,64,224,ssh-bruteforce
56688,22,6,PA,0.0010218620300292969,556,0,524,64,224,ssh-bruteforce
56680,22,6,PA,0.0012595653533935547,556,0,524,64,224,ssh-bruteforce
22,56688,6,PA,0.0015001296997070312,0,48,16,64,224,ssh-bruteforce
22,56770,6,PA,0.0014023780822753906,0,48,16,64,224,ssh-bruteforce
56704,22,6,PA,0.0011017322540283203,556,0,524,64,224,ssh-bruteforce
22,56680,6,A,0.0013241767883300781,0,32,0,64,224,ssh-bruteforce
56664,22,6,PA,0.0011563301086425781,556,0,524,64,224,ssh-bruteforce
56656,22,6,PA,0.0011446475982666016,556,0,524,64,224,ssh-bruteforce
56750,22,6,PA,0.0014834403991699219,556,0,524,64,224,ssh-bruteforce
22,56680,6,PA,0.0016849040985107422,0,48,16,64,224,ssh-bruteforce
56736,22,6,A,0.0011603832244873047,32,0,0,64,224,ssh-bruteforce
22,56656,6,PA,0.0009524822235107422,0,48,16,64,224,ssh-bruteforce
22,56704,6,PA,0.0010385513305664062,0,48,16,64,224,ssh-bruteforce
22,56750,6,PA,0.0014715194702148438,0,48,16,64,224,ssh-bruteforce
22,56664,6,PA,0.0016400814056396484,0,48,16,64,224,ssh-bruteforce
22,56712,6,A,0.0013022422790527344,0,32,0,64,224,ssh-bruteforce
56770,22,6,A,0.0009708404541015625,32,0,0,64,224,ssh-bruteforce
56688,22,6,A,0.0011112689971923828,32,0,0,64,224,ssh-bruteforce
22,56736,6,PA,0.0011544227600097656,0,76,44,64,224,ssh-bruteforce
56736,22,6,A,0.001074075698852539,32,0,0,64,224,ssh-bruteforce
56736,22,6,PA,0.0009679794311523438,76,0,44,64,224,ssh-bruteforce
22,56770,6,PA,0.001018524169921875,0,76,44,64,224,ssh-bruteforce
56770,22,6,A,0.001699209213256836,32,0,0,64,224,ssh-bruteforce
56770,22,6,PA,0.0012259483337402344,76,0,44,64,224,ssh-bruteforce
56680,22,6,A,0.0011174678802490234,32,0,0,64,224,ssh-bruteforce
22,56688,6,PA,0.0009386539459228516,0,76,44,64,224,ssh-bruteforce
56688,22,6,A,0.0014328956604003906,32,0,0,64,224,ssh-bruteforce
56688,22,6,PA,0.0012416839599609375,76,0,44,64,224,ssh-bruteforce
56712,22,6,A,0.0015633106231689453,32,0,0,64,224,ssh-bruteforce
56664,22,6,A,0.0009567737579345703,32,0,0,64,224,ssh-bruteforce
56750,22,6,A,0.0011854171752929688,32,0,0,64,224,ssh-bruteforce
56704,22,6,A,0.0009520053863525391,32,0,0,64,224,ssh-bruteforce
56656,22,6,A,0.0009870529174804688,32,0,0,64,224,ssh-bruteforce
22,56750,6,PA,0.0009226799011230469,0,76,44,64,224,ssh-bruteforce
56750,22,6,A,0.00095367431640625,32,0,0,64,224,ssh-bruteforce
